transaction_id,investor_id,transaction_date,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status
1,INV003054,2024-01-01,119092,SIP,1834,Telangana,Hyderabad,T30,56+,Female,77.1,UPI,Verified
2,INV002952,2024-01-01,148567,Redemption,392882,Punjab,Amritsar,B30,18-25,Male,7.1,Cheque,Verified
3,INV003420,2024-01-01,118636,SIP,912,Haryana,Faridabad,B30,36-45,Male,47.2,Mandate,Verified
4,INV003436,2024-01-01,118634,SIP,1102,Maharashtra,Mumbai,T30,36-45,Female,54.4,Cheque,Pending
5,INV004691,2024-01-01,119094,Lumpsum,8682,Delhi,Noida,T30,26-35,Male,14.5,Net Banking,Pending
6,INV001497,2024-01-01,101208,SIP,3295,Maharashtra,Mumbai,T30,36-45,Male,56.8,Mandate,Verified
7,INV000786,2024-01-01,101208,SIP,15047,Madhya Pradesh,Bhopal,B30,26-35,Male,17.9,Mandate,Verified
8,INV000616,2024-01-01,100016,SIP,933,Maharashtra,Nashik,B30,36-45,Male,50.4,Mandate,Verified
9,INV003670,2024-01-01,119120,SIP,10672,Punjab,Chandigarh,T30,36-45,Male,38.4,Net Banking,Verified
10,INV002054,2024-01-01,148567,SIP,1111,Telangana,Hyderabad,T30,26-35,Male,17.8,Net Banking,Verified
11,INV002592,2024-01-01,101208,Lumpsum,411860,Madhya Pradesh,Bhopal,B30,26-35,Female,15.7,Mandate,Verified
12,INV001023,2024-01-01,118636,SIP,4865,Gujarat,Ahmedabad,T30,36-45,Male,27.1,Net Banking,Verified
13,INV002893,2024-01-01,120843,SIP,8472,Telangana,Hyderabad,T30,56+,Male,69.4,UPI,Pending
14,INV000797,2024-01-01,102885,SIP,58257,Rajasthan,Jaipur,T30,36-45,Female,53.7,Net Banking,Verified
15,INV000368,2024-01-01,118636,Redemption,339882,Uttar Pradesh,Agra,B30,26-35,Male,16.2,UPI,Verified
16,INV000548,2024-01-01,119095,SIP,1607,Karnataka,Mysore,B30,36-45,Male,53.2,Cheque,Verified
17,INV000600,2024-01-01,149322,SIP,20890,Maharashtra,Mumbai,T30,26-35,Male,17.3,Net Banking,Verified
18,INV004347,2024-01-01,119599,SIP,1862,West Bengal,Kolkata,T30,36-45,Male,20.5,Net Banking,Verified
19,INV000437,2024-01-01,120504,SIP,900,Telangana,Hyderabad,T30,26-35,Female,6.1,UPI,Verified
20,INV000609,2024-01-01,120842,SIP,8493,Tamil Nadu,Coimbatore,B30,18-25,Male,3.9,Mandate,Verified
21,INV000428,2024-01-01,118636,SIP,9146,Delhi,Gurugram,T30,36-45,Male,27.2,Mandate,Verified
22,INV003329,2024-01-01,101207,Lumpsum,295055,Madhya Pradesh,Indore,T30,56+,Male,25.2,Mandate,Verified
23,INV000968,2024-01-01,100025,Lumpsum,497564,Tamil Nadu,Chennai,T30,36-45,Female,37.1,UPI,Verified
24,INV004154,2024-01-01,102885,SIP,1897,Karnataka,Mysore,B30,18-25,Male,4.7,Net Banking,Verified
25,INV000234,2024-01-01,148567,SIP,28094,Tamil Nadu,Coimbatore,B30,26-35,Male,23.8,Mandate,Verified
26,INV002885,2024-01-01,148567,Lumpsum,430566,Delhi,Gurugram,T30,26-35,Male,23.4,Cheque,Pending
27,INV002157,2024-01-01,102885,Lumpsum,112928,Punjab,Chandigarh,T30,26-35,Male,16.9,Mandate,Verified
28,INV001665,2024-01-01,120505,SIP,3322,Telangana,Hyderabad,T30,36-45,Male,35.1,Mandate,Verified
29,INV002328,2024-01-01,120841,SIP,29901,Haryana,Gurugram,T30,26-35,Male,11.6,Cheque,Verified
30,INV004174,2024-01-01,119599,SIP,57353,Rajasthan,Udaipur,B30,18-25,Male,4.7,Mandate,Verified
31,INV004918,2024-01-01,120503,Redemption,153828,Punjab,Amritsar,B30,56+,Female,46.9,UPI,Verified
32,INV000478,2024-01-01,120506,SIP,59382,Gujarat,Surat,T30,36-45,Female,16.5,UPI,Verified
33,INV000467,2024-01-01,119552,SIP,2623,Karnataka,Bangalore,T30,18-25,Female,7.1,Cheque,Verified
34,INV000603,2024-01-01,118636,SIP,2858,West Bengal,Kolkata,T30,26-35,Male,17.3,Mandate,Verified
35,INV004770,2024-01-01,102886,Lumpsum,92031,Gujarat,Surat,T30,18-25,Female,5.2,Mandate,Verified
36,INV004648,2024-01-01,118634,SIP,17860,Maharashtra,Pune,T30,36-45,Male,54.3,Mandate,Pending
37,INV002432,2024-01-01,101208,SIP,3513,Haryana,Gurugram,T30,46-55,Female,48.1,Net Banking,Verified
38,INV002338,2024-01-01,120844,Lumpsum,292991,Delhi,New Delhi,T30,26-35,Male,23.6,UPI,Verified
39,INV001041,2024-01-01,101208,SIP,8547,Madhya Pradesh,Bhopal,B30,18-25,Male,5.1,Cheque,Verified
40,INV001400,2024-01-01,148567,SIP,10696,Tamil Nadu,Coimbatore,B30,36-45,Male,36.5,Mandate,Verified
41,INV000852,2024-01-01,101208,SIP,15916,Maharashtra,Nashik,B30,26-35,Female,18.1,UPI,Verified
42,INV004915,2024-01-01,120504,SIP,14096,Uttar Pradesh,Kanpur,B30,26-35,Male,9.6,Cheque,Verified
43,INV002984,2024-01-01,120844,Redemption,230179,Delhi,Gurugram,T30,26-35,Male,18.1,Mandate,Verified
